Province_State,Population,May20,Jun20,Jul20,Aug20,Sep20,Oct20,Nov20,Dec20,Jan21,Feb21,Mar21,Apr21,Average
Pennsylvania,12801989,0.02405876149401472,0.008545547102094838,0.004358697699240329,0.0035307013621086536,0.0036791157998964067,0.005233561753568137,0.011990324316010582,0.04383693815078266,0.04428999275034528,0.018356522568485256,0.008647093822686459,0.008733017970879369,0.015438356232509389
Rhode Island,1059361,0.043705592333491604,0.014159479157718662,0.0046254298581880965,0.004908619441342469,0.0044366368027518475,0.008590084022349322,0.01878490901590676,0.048614211774834076,0.03879697289214914,0.015197840962618033,0.011044393743020556,0.004908619441342469,0.018147732453809417
South Carolina,5148714,0.004855581413145108,0.004758469784882206,0.01889792285996076,0.019577704257801073,0.012779890279397924,0.0108182353884873,0.008662357241050873,0.017771427972111096,0.03391138058940543,0.029211177781480968,0.011653395391548258,0.006817236304055732,0.014976231605277225
South Dakota,884659,0.0050867057250307745,0.0032780992450198326,0.004408478295026671,0.004182402485025304,0.006330122680038297,0.022833656810138145,0.0588927485053563,0.061266544510370655,0.032780992450198325,0.012434169550075227,0.005312781535032142,0.003617212960021884,0.01836865956261113
Tennessee,6829174,0.0024161047880753954,0.003514334237200575,0.006677235050681093,0.01016228316923833,0.010250141525168344,0.013164110330180487,0.01828918109276466,0.03375225173644719,0.04016591171933824,0.02578642746545922,0.007219028245582847,0.004290416381249036,0.01464061881178212
Texas,28995881,0.0032487372947902497,0.0033797903916076904,0.016592011810229186,0.018788875564774182,0.010977421241313552,0.008621914264305332,0.012012050953030191,0.019985597264659764,0.03106648147714498,0.02284117526899769,0.015709127789564317,0.006783722143155436,0.014167242121964381
Utah,3205958,0.0020898589438788653,0.001840323547594822,0.004117334038686721,0.003212768227157062,0.0016219800758462835,0.0045228290576482914,0.008328243850979956,0.012414385965131171,0.01235200211606016,0.008421819624586473,0.00583288988813952,0.002495353962840437,0.00560414910821248
Vermont,623989,9.61555412034507E-4,1.6025923533908448E-4,1.6025923533908448E-4,1.6025923533908448E-4,0.0,0.0,0.0017628515887299293,0.010737368767718662,0.006089850942885211,0.0048077770601725345,0.0036859624127989436,0.0030449254714426054,0.002630922446816637
Virginia,8535519,0.009642061601643673,0.004545710694335048,0.004815172926215734,0.004756594180154716,0.007357490505263945,0.005225224148642865,0.004780025678579124,0.011364276735837621,0.016776952871875746,0.024462484355081398,0.019916773660746345,0.006068758091921533,0.00997596045419148
Washington,7614893,0.0037689301740681056,0.00236378895934585,0.003939648265576417,0.004057837713543709,0.0024688462464278883,0.0032173794168874072,0.00547611108915122,0.009179380458793053,0.010820900569449893,0.008811679954005919,0.0038214588176091243,0.0033093045430841904,0.005102938850661897
West Virginia,1792147,0.0018971658016892587,0.0010043818950119605,0.0012833768658486162,0.005524100422565783,0.007811859183426359,0.0058030953934024385,0.015400522390183396,0.03364679348290067,0.03827810999878916,0.015400522390183396,0.02098042180691651,1.673969825019934E-4,0.012266478884451627
Wisconsin,5822434,0.0050322597044466285,0.0028338663864631184,0.002799516490869626,0.003572389141723204,0.003709788724097173,0.01609292608555116,0.019837064705241828,0.030021808748712304,0.020472537773721437,0.00996146972211278,0.005169659286820598,0.00403611273223535,0.010294949958499602
Wyoming,578759,0.0015550514117275067,6.911339607677807E-4,0.0010367009411516711,0.001900618392111397,0.0022461853724952876,0.006392989137101971,0.022116286744568982,0.038530718312803774,0.027299791450327338,0.01295876176439589,0.00501072121556641,0.0012094844313436162,0.010079036927863468
